Chemmeen,+91 9900044130,56780,"44, Opposite Saphhire Toys, Richmond Road, Bangalore",3.5,Bangalore,India,12.9671290000,77.6107270000,34,NA,Rs. 700,NA,NA,NA,7,19,No,No,Yes,Yes,Yes,Yes,No,"Seafood, Kerala"
Tasty Treat,080 49652703,57322,"2, Nandadeepa Complex, 24th Main Parangipalaya Road, Sector 2, Opp KEB Power Station, HSR, Bangalore",3.5,Bangalore,India,12.9016500000,77.6485138889,49,NA,Rs. 450,NA,NA,NA,7,20,Yes,No,Yes,Yes,No,No,No,"North Indian, Chinese"
Dastarkhan,+91 9686022163,60797,"1, Hegde Nagar, Kottanur Main Road, K Narayanapura, Hennur, Bangalore 560077",3.5,Bangalore,India,13.0662750000,77.6396777778,24,NA,Rs. 300,NA,NA,NA,2,17,Yes,No,Yes,Yes,No,No,No,"North Indian, South Indian"
Eat Eroo - South China,+91 8970222000,57786,"Home Town, Outer Ring Road, Marathahalli, Bangalore",3.8,Bangalore,India,12.9531055556,77.7000277778,41,NA,Rs. 350,NA,NA,NA,10,15,Yes,No,Yes,Yes,No,No,No,"South Indian, Chinese"
Woods @ Wonderla Resort,080 49653544,54066,"Wonderla Resort, 28th KM, Mysore Road, Bangalore 562109",3.6,Bangalore,India,12.8381840000,77.4019220000,19,NA,"Rs. 1,000",NA,NA,NA,6,10,No,No,Yes,Yes,Yes,Yes,Yes,"South Indian, North Indian, Italian, Chinese"
Tikki Tikki,080 49653208,59140,"35/1, CRM Sowbhagya Annexe, Varthur Main Road, Marathahalli, Bangalore",3.0,Bangalore,India,12.9565992161,77.7099395916,26,NA,Rs. 250,NA,NA,NA,9,12,Yes,No,Yes,Yes,No,No,No,"Street Food, Fast Food"
Jai Jinendra,080 41129699,61382,"635, 100 Feet Road, 6th Block, Koramangala, Koramangala, Bangalore 560095",3.6,Bangalore,India,NA,NA,20,NA,NA,NA,NA,NA,4,8,No,No,No,No,No,No,No,"Street Food, Beverages"
Chaatimes,+91 9945111997,56883,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near Basavanagudi, Bangalore",3.7,Bangalore,India,12.9401888889,77.5645361111,46,NA,Rs. 250,NA,NA,NA,9,22,No,No,No,No,No,No,No,"Street Food, Fast Food"
Stop Over,+91 9590876837,58826,"Manchanayakana Halli, Wonderla Gate, Mysore Road, Bangalore",3.4,Bangalore,India,12.8370861100,77.4158555600,31,NA,Rs. 350,NA,NA,NA,7,13,No,No,Yes,No,No,No,Yes,"North Indian, South Indian, Chinese"
Not Just Desserts,+91 8880052652,59369,"1188, HNR Tower, 24th Main, 2nd Sector, Pharingi Palya, HSR, Bangalore",3.4,Bangalore,India,12.9085083333,77.6492833333,26,NA,Rs. 300,NA,NA,NA,8,16,No,No,Yes,Yes,No,Yes,No,Desserts
